Código,Nome,Período,Duração,Dependências
BEV278,INTRODUCAO A SISTEMATICA FILOGENETICA,1,1,
CBI011,CONCEITOS EM BIOTECNOLOGIA E SAUDE,1,1,
CBI270,BIOLOGIA CELULAR,1,1,
CSO111,METODOLOGIA DE PESQUISA,1,1,
GEO110,GEOLOGIA GERAL,1,1,
MTM141,MATEMATICA APLICADA A CIENCIAS BIOLOGICAS,1,1,
QUI309,QUIMICA GERAL,1,1,
QUI310,QUIMICA GERAL EXPERIMENTAL,1,1,
BEV281,MORFOLOGIA VEGETAL,2,1,
BEV302,ZOOLOGIA DOS INVERTEBRADOS I,2,1,CBI270
CBI271,BIOQUIMICA,2,1,
CBI272,HISTOLOGIA GERAL,2,1,CBI270
EST211,BIOESTATISTICA,2,1,MTM141
FIS120,FISICA APLICADA A BIOLOGIA,2,1,MTM141
BEV280,SISTEMATICA DE ALGAS E FUNGOS,3,1,BEV278
BEV282,GENETICA,3,1,CBI270
BEV303,ZOOLOGIA DOS INVERTEBRADOS II,3,1,BEV302
CBI114,ANATOMIA HUMANA,3,1,CBI272
CBI237,BIOLOGIA DO DESENVOLVIMENTO,3,1,CBI270      CBI272
CBI279,IMUNOLOGIA COMPARADA,3,1,CBI271
EST212,BIOESTATISTICA,3,1,EST211
BEV277,FUNDAMENTOS EM ECOLOGIA I,4,1,
BEV283,SISTEMATICA DE PLANTAS,4,1,BEV278     BEV281
BEV285,ZOOLOGIA DOS VERTEBRADOS,4,1,
CBI149,FISIOLOGIA BASICA,4,1,CBI114
CBI275,BIOLOGIA DE PARASITOS E DE VETORES,4,1,
CBI277,BIOLOGIA DE MICRORGANISMOS,4,1,CBI279
GEO247,PALEONTOLOGIA,4,1,GEO110
BEV111,ECOFISIOLOGIA VEGETAL,5,1,BEV281     CBI271
BEV112,METODOS EM ECOFISIOLOGIA VEGETAL,5,1,BEV281     CBI271
BEV113,BIOLOGIA MARINHA,5,1,BEV277     BEV281     BEV303
BEV137,BIOLOGIA MARINHA DE CAMPO,5,1,BEV277     BEV281     BEV303
BEV279,FUNDAMENTOS EM ECOLOGIA II,5,1,CBI277
BEV289,EVOLUCAO,5,1,BEV282
CBI281,BIOLOGIA MOLECULAR,5,1,CBI271
CBI063,BIOSSEGURANCA,5,1,
CBI064,TOPICOS ESPECIAIS EM BIOMOLECULAS,5,1,CBI271
CBI065,"TOPICOS EM CIENCIAS BIOLOGICAS: BIOQUIMICA,
FISIOLOGIA, CIENCIAS MORFOLOGICAS E PATOLOGIA.",5,1,
CBI066,"TOPICOS EM CIENCIAS BIOLOGICAS: MICROBIOLOGIA,
IMUNOLOGIA, PARASITOLOGIA E BIOLOGIA MOLECULAR.",6,1,
CBI067,FISIOLOGIA APLICADA A PESQUISA EM SAUDE,6,1,CBI149
CBI068,HISTOLOGIA  DOS SISTEMAS,6,1,CBI272
CBI069,BIOTECNOLOGIA DE MICRORGANISMOS,6,1,CBI277
CBI070,IMUNOLOGIA GERAL,6,1,CBI271
CBI071,TOPICOS EM METABOLISMO E PROCESSOS REDOX,6,1,CBI149      CBI271
CBI072,PATOLOGIA GERAL,7,1,
CBI073,INOVACAO E EMPREENDEDORISMO EM BIOTECNOLOGIA,7,1,
CBI074,"FERRAMENTAS MOLECULARES APLICADAS A
BIOTECNOLOGIA",7,1,CBI271
CBI075,TECNOLOGIA  DO CULTIVO DE CELULAS ANIMAIS,7,1,CBI068
CBI076,BIOINFORMATICA: CONCEITOS E APLICACOES,7,1,CBI271
CBI260,SEMINARIOS DE PESQUISA E MONOGRAFIA I,7,1,
CBI077,DOENCAS INFECCIOSAS E PARASITARIAS,8,1,CBI275      CBI277
CBI261,SEMINARIOS DE PESQUISA E MONOGRAFIA II,8,1,CBI260
CBI280,LABORATORIO DE CIENCIAS,8,1,CBI272
BEV114,TAXONOMIA DE ANGIOSPERMAS,5,1,BEV283
BEV115,INTRODUCAO A ECOLOGIA COMPORTAMENTAL,5,1,BEV285
BEV116,GENETICA DE  POPULACOES,5,1,BEV282
AMB201,IMPACTO E GERENCIAMENTO AMBIENTAL,6,1,BEV277
BEV117,ANATOMIA ECOLOGICA DE PLANTAS,6,1,BEV281
BEV120,TECNICAS BASICAS EM ECOLOGIA DE CAMPO,6,1,BEV277
BEV121,FUNDAMENTOS EM ECOLOGIA III,6,1,BEV279
BEV122,ECOLOGIA MOLECULAR,7,1,BEV282
BEV180,LIMNOLOGIA,7,1,BEV279
BEV250,BIOLOGIA DA CONSERVACAO,7,1,BEV279
BEV260,SEMINARIOS DE PESQUISA E MONOGRAFIA I,7,1,
BEV123,BIOGEOGRAFIA,8,1,
BEV124,ECOLOGIA DE ECOSSISTEMAS MONTANOS TROPICAIS,8,1,BEV279
BEV261,SEMINARIOS DE PESQUISA E MONOGRAFIA II,8,1,BEV260
