Código,Nome,Período,Duração,Dependências
BCC701,PROGRAMACAO DE COMPUTADORES I,1,1,
MTM700,CALCULO DIFERENCIAL E INTEGRAL A,1,1,
MTM730,GEOMETRIA ANALITICA E ALGEBRA LINEAR,1,1,
PRO106,SEMINARIOS E ESTUDOS EM ENGENHARIA DE PRODUCAO,1,1,
PRO717,ENGENHARIA DO TRABALHO,1,1,
QUI701,QUIMICA FUNDAMENTAL,1,1,
ARQ700,EXPRESSAO GRAFICA,2,1,
BCC702,PROGRAMACAO DE COMPUTADORES II,2,1,
FIS106,FUNDAMENTOS DE MECANICA,2,1,
MTM702,CALCULO DIFERENCIAL E INTEGRAL B,2,1,
PRO718,ERGONOMIA E TRABALHO,2,1,
FIS107,FUNDAMENTOS DE TERMODINAMICA,3,1,
FIS108,"FUNDAMENTOS DE FLUIDOS, OSCILACOES E ONDAS",3,1,
MTM703,CALCULO DIFERENCIAL E INTEGRAL C,3,1,
PRO227,MICROECONOMIA,3,1,
PRO309,METODOS ESTOCASTICOS DA ENGENHARIA I,3,1,
PRO701,METODOS MATEMATICOS DA ENGENHARIA I,3,1,
FIS109,FUNDAMENTOS DE ELETROMAGNETISMO,4,1,
FIS214,MECANICA RACIONAL,4,1,
PRO226,MACROECONOMIA,4,1,
PRO404,METODOS ESTOCASTICOS DA ENGENHARIA II,4,1,
PRO704,METODOS MATEMATICOS DA ENGENHARIA II,4,1,
BCC760,CALCULO NUMERICO,5,1,
FIS105,FUNDAMENTOS DE FISICA EXPERIMENTAL,5,1,
FIS110,FUNDAMENTOS DE OPTICA E QUANTICA,5,1,
FIS215,MECANICA DO CONTINUO,5,1,
PRO511,TEORIA DAS ORGANIZACOES,5,1,
PRO706,PESQUISA OPERACIONAL I,5,1,
CAT700,AUTOMACAO DE SISTEMAS DE PRODUCAO,6,1,
PRO126,"ENERGIA, SOCIEDADE E MEIO AMBIENTE",6,1,
PRO236,ENGENHARIA DE PROCESSOS CONTINUOS,6,1,
PRO708,PESQUISA OPERACIONAL II,6,1,
PRO720,CIENCIA E MANUFATURA,6,1,
CAT107,INSTALACOES INDUSTRIAIS,7,1,
PRO390,"ESTAGIO SUPERVISIONADO EM ENGENHARIA DE
PRODUCAO",7,1,600 horas
PRO721,ENGENHARIA DA MANUFATURA,7,1,
PRO723,ENGENHARIA DA QUALIDADE,7,1,
PRO807,PLANEJAMENTO E CONTROLE DA PRODUCAO,7,1,
PRO809,ENGENHARIA ECONOMICA,7,1,
PRO490,PROJETO FINAL DE GRADUACAO,8,1,2100 horas
