Código,Nome,Período,Duração,Dependências
BCC701,PROGRAMACAO DE COMPUTADORES I,1,1,
EST300,ESTATISTICA DESCRITIVA,1,1,
EST306,ESTATISTICA:PROFISSAO E MERCADO,1,1,
MTM122,CALCULO DIFERENCIAL E INTEGRAL I,1,1,
MTM131,GEOMETRIA ANALITICA E CALCULO VETORIAL,1,1,
BCC760,CALCULO NUMERICO,2,1,BCC701
CSO117,METODOLOGIA DE PESQUISA,2,1,
EST301,ESTATISTICA I,2,1,
EST303,PROBABILIDADE I,2,1,MTM122
MTM123,CALCULO DIFERENCIAL E INTEGRAL II,2,1,MTM122
EST004,PACOTES ESTATISTICOS I,3,1,EST301
EST009,DEMOGRAFIA,3,1,EST300
EST302,ESTATISTICA II,3,1,EST301
EST304,PROBABILIDADE  II,3,1,EST303
MTM112,INTRODUCAO A ALGEBRA LINEAR,3,1,MTM131
EST007,METODOS NAO PARAMETRICOS,4,1,EST302
EST008,TECNICAS DE AMOSTRAGEM I,4,1,EST303
EST015,PLANEJAMENTO DE EXPERIMENTO I,4,1,EST302
EST128,PACOTES ESTATISTICOS II,4,1,EST302
EST305,PROBABILIDADE  III,4,1,EST304
EST013,INFERENCIA ESTATISTICA I,5,1,EST305
EST014,ESTATISTICA MULTIVARIADA I,5,1,EST302     MTM112
EST018,CONTROLE ESTATISTICO DE QUALIDADE,5,1,EST302
EST127,ANALISE DE REGRESSAO,5,1,EST302     MTM112
EST011,PROCESSOS ESTOCASTICOS,6,1,EST305     MTM112
EST017,INFERENCIA ESTATISTICA II,6,1,EST013
EST112,INFERENCIA BAYESIANA,6,1,EST013
EST113,MODELOS LINEARES GENERALIZADOS,6,1,EST127
EST016,ANALISE DE SERIES TEMPORAIS I,7,1,EST127
EST019,ANALISE DE DADOS CATEGORICOS,7,1,EST127
EST020,LABORATORIO SUPERVISIONADO,7,1,EST014     EST127
EST023,ANALISE DE SOBREVIVENCIA,7,1,EST013
EST308,MONOGRAFIA I,7,1,EST017
EST024,PESQUISA DE OPINIAO E MERCADO,8,1,EST014     EST019     EST127
EST307,MANIPULACAO E VISUALIZACAO DE DADOS USANDO O R,8,1,EST128
EST309,MONOGRAFIA II,8,1,EST308
